"species","clim_model","sdm","area","perc_current","area_ratio"
"Prunus cerasus","ensemble_ssp370_2071","gam",10460602,96.12,4.39
"Prunus cerasus","ensemble_ssp370_2071","lasso",6242238,64.43,2.53
"Prunus cerasus","ensemble_ssp370_2071","maxent-tune",10391454,96.86,4.8
"Prunus cerasus","ensemble_ssp370_2071","rf",9981032,89.73,6.6
"Prunus pensylvanica","current","brt",1346529,NA,NA
"Prunus pensylvanica","current","gam",1529440,NA,NA
"Prunus pensylvanica","current","lasso",1699437,NA,NA
"Prunus pensylvanica","current","maxent-tune",1593527,NA,NA
"Prunus pensylvanica","current","rf",1501939,NA,NA
"Prunus pensylvanica","ensemble_ssp245_2041","brt",1772109,52.42,1.32
"Prunus pensylvanica","ensemble_ssp245_2041","gam",206080,2.7,0.13
"Prunus pensylvanica","ensemble_ssp245_2041","lasso",1013395,22.49,0.6
"Prunus pensylvanica","ensemble_ssp245_2041","maxent-tune",375206,8.75,0.24
"Prunus pensylvanica","ensemble_ssp245_2041","rf",2250419,53.75,1.5
"Prunus pensylvanica","ensemble_ssp245_2071","brt",2153236,40.99,1.6
"Prunus pensylvanica","ensemble_ssp245_2071","gam",238041,1.43,0.16
"Prunus pensylvanica","ensemble_ssp245_2071","lasso",1540606,16.78,0.91
"Prunus pensylvanica","ensemble_ssp245_2071","maxent-tune",525707,6.49,0.33
"Prunus pensylvanica","ensemble_ssp245_2071","rf",2886339,50.4,1.92
"Prunus pensylvanica","ensemble_ssp370_2041","brt",1826592,49.42,1.36
"Prunus pensylvanica","ensemble_ssp370_2041","gam",180055,1.99,0.12
"Prunus pensylvanica","ensemble_ssp370_2041","lasso",1074845,19.4,0.63
"Prunus pensylvanica","ensemble_ssp370_2041","maxent-tune",372999,6.93,0.23
"Prunus pensylvanica","ensemble_ssp370_2041","rf",2293964,52.67,1.53
"Prunus pensylvanica","ensemble_ssp370_2071","brt",2483740,25.3,1.84
"Prunus pensylvanica","ensemble_ssp370_2071","gam",241738,0.79,0.16
"Prunus pensylvanica","ensemble_ssp370_2071","lasso",1793016,7.85,1.06
"Prunus pensylvanica","ensemble_ssp370_2071","maxent-tune",654159,4.45,0.41
"Prunus pensylvanica","ensemble_ssp370_2071","rf",3124011,44.74,2.08
"Prunus persica","current","brt",2090092,NA,NA
"Prunus persica","current","gam",2771044,NA,NA
"Prunus persica","current","lasso",3425743,NA,NA
"Prunus persica","current","maxent-tune",2819346,NA,NA
"Prunus persica","current","rf",2055694,NA,NA
"Prunus persica","ensemble_ssp245_2041","brt",4518125,86.82,2.16
"Prunus persica","ensemble_ssp245_2041","gam",3073679,38.8,1.11
"Prunus persica","ensemble_ssp245_2041","lasso",3091300,72.91,0.9
"Prunus persica","ensemble_ssp245_2041","maxent-tune",2356962,63.78,0.84
"Prunus persica","ensemble_ssp245_2041","rf",4022649,91.58,1.96
"Prunus persica","ensemble_ssp245_2071","brt",5112776,89.65,2.45
"Prunus persica","ensemble_ssp245_2071","gam",3376151,37.87,1.22
"Prunus persica","ensemble_ssp245_2071","lasso",3325690,67.47,0.97
"Prunus persica","ensemble_ssp245_2071","maxent-tune",2680505,66.44,0.95
"Prunus persica","ensemble_ssp245_2071","rf",4440039,91.54,2.16
"Prunus persica","ensemble_ssp370_2041","brt",4816924,88.83,2.3
"Prunus persica","ensemble_ssp370_2041","gam",3111466,38.11,1.12
"Prunus persica","ensemble_ssp370_2041","lasso",3033632,69.08,0.89
"Prunus persica","ensemble_ssp370_2041","maxent-tune",2471954,64.84,0.88
"Prunus persica","ensemble_ssp370_2041","rf",4229615,91.22,2.06
"Prunus persica","ensemble_ssp370_2071","brt",6108231,94.22,2.92
"Prunus persica","ensemble_ssp370_2071","gam",3719855,37.35,1.34
"Prunus persica","ensemble_ssp370_2071","lasso",3605740,56.79,1.05
"Prunus persica","ensemble_ssp370_2071","maxent-tune",3190783,70.36,1.13
"Prunus persica","ensemble_ssp370_2071","rf",5112217,91.18,2.49
"Prunus virginiana","current","brt",1459947,NA,NA
"Prunus virginiana","current","gam",1954130,NA,NA
"Prunus virginiana","current","lasso",2480170,NA,NA
"Prunus virginiana","current","maxent-tune",2346688,NA,NA
"Prunus virginiana","current","rf",1580302,NA,NA
"Prunus virginiana","ensemble_ssp245_2041","brt",2568856,71.68,1.76
"Prunus virginiana","ensemble_ssp245_2041","gam",2061716,42.42,1.06
"Prunus virginiana","ensemble_ssp245_2041","lasso",1352978,37.68,0.55
"Prunus virginiana","ensemble_ssp245_2041","maxent-tune",1028136,26.33,0.44
"Prunus virginiana","ensemble_ssp245_2041","rf",1955496,50.61,1.24
"Prunus virginiana","ensemble_ssp245_2071","brt",3124614,70.9,2.14
"Prunus virginiana","ensemble_ssp245_2071","gam",2827275,38.67,1.45
"Prunus virginiana","ensemble_ssp245_2071","lasso",1641735,33.51,0.66
"Prunus virginiana","ensemble_ssp245_2071","maxent-tune",1237317,23.38,0.53
"Prunus virginiana","ensemble_ssp245_2071","rf",2173198,50.83,1.38
"Prunus virginiana","ensemble_ssp370_2041","brt",2707229,73.7,1.85
"Prunus virginiana","ensemble_ssp370_2041","gam",1965963,39.78,1.01
"Prunus virginiana","ensemble_ssp370_2041","lasso",1379790,36.02,0.56
"Prunus virginiana","ensemble_ssp370_2041","maxent-tune",984865,24.9,0.42
"Prunus virginiana","ensemble_ssp370_2041","rf",2027569,53.21,1.28
"Prunus virginiana","ensemble_ssp370_2071","brt",3952511,69.94,2.71
"Prunus virginiana","ensemble_ssp370_2071","gam",2815614,35.53,1.44
"Prunus virginiana","ensemble_ssp370_2071","lasso",1571860,23.78,0.63
"Prunus virginiana","ensemble_ssp370_2071","maxent-tune",1186649,20.59,0.51
"Prunus virginiana","ensemble_ssp370_2071","rf",2150789,48.2,1.36
"Sorbus americana","current","brt",581460,NA,NA
"Sorbus americana","current","gam",824489,NA,NA
"Sorbus americana","current","lasso",919823,NA,NA
"Sorbus americana","current","maxent-tune",961445,NA,NA
"Sorbus americana","current","rf",851218,NA,NA
"Sorbus americana","ensemble_ssp245_2041","brt",156147,6.02,0.27
"Sorbus americana","ensemble_ssp245_2041","gam",632910,4.48,0.77
"Sorbus americana","ensemble_ssp245_2041","lasso",365849,1.51,0.4
"Sorbus americana","ensemble_ssp245_2041","maxent-tune",50998,0.43,0.05
"Sorbus americana","ensemble_ssp245_2041","rf",3430786,85.8,4.03
"Sorbus americana","ensemble_ssp245_2071","brt",266783,4.8,0.46
"Sorbus americana","ensemble_ssp245_2071","gam",1042899,2.42,1.26
"Sorbus americana","ensemble_ssp245_2071","lasso",574064,0.74,0.62
"Sorbus americana","ensemble_ssp245_2071","maxent-tune",120658,0.22,0.13
"Sorbus americana","ensemble_ssp245_2071","rf",5007266,83.2,5.88
"Sorbus americana","ensemble_ssp370_2041","brt",192071,6.03,0.33
"Sorbus americana","ensemble_ssp370_2041","gam",645892,3.86,0.78
"Sorbus americana","ensemble_ssp370_2041","lasso",384823,1.09,0.42
"Sorbus americana","ensemble_ssp370_2041","maxent-tune",73447,0.33,0.08
"Sorbus americana","ensemble_ssp370_2041","rf",3530029,83.73,4.15
"Sorbus americana","ensemble_ssp370_2071","brt",390430,4.55,0.67
"Sorbus americana","ensemble_ssp370_2071","gam",657971,0.06,0.8
"Sorbus americana","ensemble_ssp370_2071","lasso",585577,0.53,0.64
"Sorbus americana","ensemble_ssp370_2071","maxent-tune",290810,0,0.3
"Sorbus americana","ensemble_ssp370_2071","rf",4982973,76.69,5.85
"Syringa vulgaris","current","brt",1700838,NA,NA
"Syringa vulgaris","current","gam",2087392,NA,NA
"Syringa vulgaris","current","lasso",2268041,NA,NA
"Syringa vulgaris","current","maxent-tune",2255483,NA,NA
"Syringa vulgaris","current","rf",1730112,NA,NA
"Syringa vulgaris","ensemble_ssp245_2041","brt",5248390,89.3,3.09
"Syringa vulgaris","ensemble_ssp245_2041","gam",4366911,65.91,2.09
"Syringa vulgaris","ensemble_ssp245_2041","lasso",3721024,67.65,1.64
"Syringa vulgaris","ensemble_ssp245_2041","maxent-tune",4314593,76.35,1.91
"Syringa vulgaris","ensemble_ssp245_2041","rf",4296495,86.5,2.48
"Syringa vulgaris","ensemble_ssp245_2071","brt",6130304,88.5,3.6
"Syringa vulgaris","ensemble_ssp245_2071","gam",5156071,61.9,2.47
"Syringa vulgaris","ensemble_ssp245_2071","lasso",4638903,63.06,2.05
"Syringa vulgaris","ensemble_ssp245_2071","maxent-tune",5261803,69.79,2.33
"Syringa vulgaris","ensemble_ssp245_2071","rf",5054606,84.59,2.92
"Syringa vulgaris","ensemble_ssp370_2041","brt",5764185,90.44,3.39
"Syringa vulgaris","ensemble_ssp370_2041","gam",4625987,64.42,2.22
"Syringa vulgaris","ensemble_ssp370_2041","lasso",3971841,66.36,1.75
"Syringa vulgaris","ensemble_ssp370_2041","maxent-tune",4752366,74.13,2.11
"Syringa vulgaris","ensemble_ssp370_2041","rf",4669582,87.33,2.7
"Syringa vulgaris","ensemble_ssp370_2071","brt",7965207,91.38,4.68
"Syringa vulgaris","ensemble_ssp370_2071","gam",6269898,58.84,3
"Syringa vulgaris","ensemble_ssp370_2071","lasso",6054864,52.97,2.67
"Syringa vulgaris","ensemble_ssp370_2071","maxent-tune",6432971,59.69,2.85
"Syringa vulgaris","ensemble_ssp370_2071","rf",6530254,82.09,3.77
"Tilia americana","current","brt",1210078,NA,NA
"Tilia americana","current","gam",1301002,NA,NA
"Tilia americana","current","lasso",1209327,NA,NA
"Tilia americana","current","maxent-tune",1439760,NA,NA
"Tilia americana","current","rf",1029746,NA,NA
"Tilia americana","ensemble_ssp245_2041","brt",2662210,62.33,2.2
"Tilia americana","ensemble_ssp245_2041","gam",1374712,54.86,1.06
"Tilia americana","ensemble_ssp245_2041","lasso",1149432,38.65,0.95
"Tilia americana","ensemble_ssp245_2041","maxent-tune",1325560,36.81,0.92
"Tilia americana","ensemble_ssp245_2041","rf",2039473,55.98,1.98
"Tilia americana","ensemble_ssp245_2071","brt",3437116,67.89,2.84
"Tilia americana","ensemble_ssp245_2071","gam",1678772,50.73,1.29
"Tilia americana","ensemble_ssp245_2071","lasso",1570692,35.06,1.3
"Tilia americana","ensemble_ssp245_2071","maxent-tune",1644922,28.87,1.14
"Tilia americana","ensemble_ssp245_2071","rf",2365904,52.7,2.3
"Tilia americana","ensemble_ssp370_2041","brt",2949099,68.82,2.44
"Tilia americana","ensemble_ssp370_2041","gam",1414028,54.56,1.09
"Tilia americana","ensemble_ssp370_2041","lasso",1239790,38.45,1.03
"Tilia americana","ensemble_ssp370_2041","maxent-tune",1431064,34.86,0.99
"Tilia americana","ensemble_ssp370_2041","rf",2169485,53.67,2.11
"Tilia americana","ensemble_ssp370_2071","brt",4648169,74.17,3.84
"Tilia americana","ensemble_ssp370_2071","gam",2226764,49.56,1.71
"Tilia americana","ensemble_ssp370_2071","lasso",2560292,33.63,2.12
"Tilia americana","ensemble_ssp370_2071","maxent-tune",1984231,22.56,1.38
"Tilia americana","ensemble_ssp370_2071","rf",2569234,40.85,2.5
"Ruta graveolens","current","brt",2601493,NA,NA
"Ruta graveolens","current","gam",2284223,NA,NA
"Ruta graveolens","current","lasso",4009903,NA,NA
"Ruta graveolens","current","maxent-tune",3276687,NA,NA
"Ruta graveolens","current","rf",1413733,NA,NA
"Ruta graveolens","ensemble_ssp245_2041","brt",4540578,89.65,1.75
"Ruta graveolens","ensemble_ssp245_2041","gam",4187643,86.51,1.83
"Ruta graveolens","ensemble_ssp245_2041","lasso",3394380,69.81,0.85
"Ruta graveolens","ensemble_ssp245_2041","maxent-tune",4356513,84.89,1.33
"Ruta graveolens","ensemble_ssp245_2041","rf",3716865,77.33,2.63
"Ruta graveolens","ensemble_ssp245_2071","brt",5006445,89.73,1.92
"Ruta graveolens","ensemble_ssp245_2071","gam",4923912,87.31,2.16
"Ruta graveolens","ensemble_ssp245_2071","lasso",3909644,68.74,0.97
"Ruta graveolens","ensemble_ssp245_2071","maxent-tune",5145131,84.32,1.57
"Ruta graveolens","ensemble_ssp245_2071","rf",4214247,78.43,2.98
"Ruta graveolens","ensemble_ssp370_2041","brt",4698813,89.12,1.81
"Ruta graveolens","ensemble_ssp370_2041","gam",4361437,85.87,1.91
"Ruta graveolens","ensemble_ssp370_2041","lasso",3429486,69.81,0.86
"Ruta graveolens","ensemble_ssp370_2041","maxent-tune",4496183,83.5,1.37
"Ruta graveolens","ensemble_ssp370_2041","rf",3868793,76.95,2.74
"Ruta graveolens","ensemble_ssp370_2071","brt",6046274,90.37,2.32
"Ruta graveolens","ensemble_ssp370_2071","gam",6605477,86.3,2.89
"Ruta graveolens","ensemble_ssp370_2071","lasso",4852772,66.48,1.21
"Ruta graveolens","ensemble_ssp370_2071","maxent-tune",6567092,83.49,2
"Ruta graveolens","ensemble_ssp370_2071","rf",4770038,74.67,3.37
"Zanthoxylum americanum","current","brt",409722,NA,NA
"Zanthoxylum americanum","current","gam",395249,NA,NA
"Zanthoxylum americanum","current","lasso",401801,NA,NA
"Zanthoxylum americanum","current","maxent-tune",475861,NA,NA
"Zanthoxylum americanum","current","rf",405212,NA,NA
"Zanthoxylum americanum","ensemble_ssp245_2041","brt",1112923,81.27,2.72
"Zanthoxylum americanum","ensemble_ssp245_2041","gam",392957,37.9,0.99
"Zanthoxylum americanum","ensemble_ssp245_2041","lasso",726573,54.45,1.81
"Zanthoxylum americanum","ensemble_ssp245_2041","maxent-tune",810145,73.95,1.7
"Zanthoxylum americanum","ensemble_ssp245_2041","rf",1252461,76.87,3.09
"Zanthoxylum americanum","ensemble_ssp245_2071","brt",1724425,78.03,4.21
"Zanthoxylum americanum","ensemble_ssp245_2071","gam",495866,42.89,1.25
"Zanthoxylum americanum","ensemble_ssp245_2071","lasso",803116,40.15,2
"Zanthoxylum americanum","ensemble_ssp245_2071","maxent-tune",904481,60.23,1.9
"Zanthoxylum americanum","ensemble_ssp245_2071","rf",1993859,79.9,4.92
"Zanthoxylum americanum","ensemble_ssp370_2041","brt",1196518,81.85,2.92
"Zanthoxylum americanum","ensemble_ssp370_2041","gam",376408,36.49,0.95
"Zanthoxylum americanum","ensemble_ssp370_2041","lasso",692003,49.68,1.72
"Zanthoxylum americanum","ensemble_ssp370_2041","maxent-tune",794527,70.09,1.67
"Zanthoxylum americanum","ensemble_ssp370_2041","rf",1392515,80.36,3.44
"Zanthoxylum americanum","ensemble_ssp370_2071","brt",2648386,71.8,6.46
"Zanthoxylum americanum","ensemble_ssp370_2071","gam",921516,19.66,2.33
"Zanthoxylum americanum","ensemble_ssp370_2071","lasso",1487755,31.84,3.7
"Zanthoxylum americanum","ensemble_ssp370_2071","maxent-tune",1190468,44.01,2.5
"Zanthoxylum americanum","ensemble_ssp370_2071","rf",2682287,81.72,6.62
"Zanthoxylum clava-herculis","current","brt",378273,NA,NA
"Zanthoxylum clava-herculis","current","gam",494524,NA,NA
"Zanthoxylum clava-herculis","current","lasso",458116,NA,NA
"Zanthoxylum clava-herculis","current","maxent-tune",394451,NA,NA
"Zanthoxylum clava-herculis","current","rf",348580,NA,NA
"Zanthoxylum clava-herculis","ensemble_ssp245_2041","brt",818044,39.76,2.16
"Zanthoxylum clava-herculis","ensemble_ssp245_2041","gam",150615,9.22,0.3
"Zanthoxylum clava-herculis","ensemble_ssp245_2041","lasso",173844,13.5,0.38
"Zanthoxylum clava-herculis","ensemble_ssp245_2041","maxent-tune",54687,1.76,0.14
"Zanthoxylum clava-herculis","ensemble_ssp245_2041","rf",1096411,70.06,3.15
"Zanthoxylum clava-herculis","ensemble_ssp245_2071","brt",1139242,46.88,3.01
"Zanthoxylum clava-herculis","ensemble_ssp245_2071","gam",159369,1.98,0.32
"Zanthoxylum clava-herculis","ensemble_ssp245_2071","lasso",188464,8.05,0.41
"Zanthoxylum clava-herculis","ensemble_ssp245_2071","maxent-tune",55247,0.27,0.14
"Zanthoxylum clava-herculis","ensemble_ssp245_2071","rf",1352616,72.74,3.88
"Zanthoxylum clava-herculis","ensemble_ssp370_2041","brt",951550,41.92,2.52
"Zanthoxylum clava-herculis","ensemble_ssp370_2041","gam",114516,4.76,0.23
"Zanthoxylum clava-herculis","ensemble_ssp370_2041","lasso",170306,9.91,0.37
"Zanthoxylum clava-herculis","ensemble_ssp370_2041","maxent-tune",55722,0.62,0.14
"Zanthoxylum clava-herculis","ensemble_ssp370_2041","rf",1188238,71.38,3.41
"Zanthoxylum clava-herculis","ensemble_ssp370_2071","brt",1754283,52.3,4.64
"Zanthoxylum clava-herculis","ensemble_ssp370_2071","gam",116867,0.74,0.24
"Zanthoxylum clava-herculis","ensemble_ssp370_2071","lasso",153228,1.76,0.33
"Zanthoxylum clava-herculis","ensemble_ssp370_2071","maxent-tune",106243,0.22,0.27
"Zanthoxylum clava-herculis","ensemble_ssp370_2071","rf",1766940,71.49,5.07
"Alnus rubra","current","brt",134163,NA,NA
"Alnus rubra","current","gam",164682,NA,NA
"Alnus rubra","current","lasso",235968,NA,NA
"Alnus rubra","current","maxent-tune",197825,NA,NA
"Alnus rubra","current","rf",186360,NA,NA
"Alnus rubra","ensemble_ssp245_2041","brt",224686,85.59,1.67
"Alnus rubra","ensemble_ssp245_2041","gam",486502,79.85,2.95
"Alnus rubra","ensemble_ssp245_2041","lasso",416884,88.53,1.77
"Alnus rubra","ensemble_ssp245_2041","maxent-tune",497857,87.34,2.52
"Alnus rubra","ensemble_ssp245_2041","rf",615860,88.27,3.3
"Alnus rubra","ensemble_ssp245_2071","brt",252103,86.26,1.88
"Alnus rubra","ensemble_ssp245_2071","gam",857176,81.76,5.21
"Alnus rubra","ensemble_ssp245_2071","lasso",769643,89.09,3.26
"Alnus rubra","ensemble_ssp245_2071","maxent-tune",680087,88.93,3.44
"Alnus rubra","ensemble_ssp245_2071","rf",822743,89.67,4.41
"Alnus rubra","ensemble_ssp370_2041","brt",222858,85.21,1.66
"Alnus rubra","ensemble_ssp370_2041","gam",442457,82.48,2.69
"Alnus rubra","ensemble_ssp370_2041","lasso",415787,88.75,1.76
"Alnus rubra","ensemble_ssp370_2041","maxent-tune",481569,88.94,2.43
"Alnus rubra","ensemble_ssp370_2041","rf",673658,88.58,3.61
"Alnus rubra","ensemble_ssp370_2071","brt",340869,87.47,2.54
"Alnus rubra","ensemble_ssp370_2071","gam",929796,79.22,5.65
"Alnus rubra","ensemble_ssp370_2071","lasso",987485,87.89,4.18
"Alnus rubra","ensemble_ssp370_2071","maxent-tune",739089,84.64,3.74
"Alnus rubra","ensemble_ssp370_2071","rf",1022606,90.28,5.49
"Eriodictyon californicum","current","brt",65582,NA,NA
"Eriodictyon californicum","current","gam",69046,NA,NA
"Eriodictyon californicum","current","lasso",75485,NA,NA
"Eriodictyon californicum","current","maxent-tune",90167,NA,NA
"Eriodictyon californicum","current","rf",75276,NA,NA
"Eriodictyon californicum","ensemble_ssp245_2041","brt",67355,40.1,1.03
"Eriodictyon californicum","ensemble_ssp245_2041","gam",132653,0.05,1.92
"Eriodictyon californicum","ensemble_ssp245_2041","lasso",152752,14.03,2.02
"Eriodictyon californicum","ensemble_ssp245_2041","maxent-tune",350787,22.58,3.89
"Eriodictyon californicum","ensemble_ssp245_2041","rf",296727,87.95,3.94
"Eriodictyon californicum","ensemble_ssp245_2071","brt",121566,44.62,1.85
"Eriodictyon californicum","ensemble_ssp245_2071","gam",631131,0,9.14
"Eriodictyon californicum","ensemble_ssp245_2071","lasso",602726,18.94,7.98
"Eriodictyon californicum","ensemble_ssp245_2071","maxent-tune",1094935,25.59,12.14
"Eriodictyon californicum","ensemble_ssp245_2071","rf",864683,88.74,11.49
"Eriodictyon californicum","ensemble_ssp370_2041","brt",86787,42.35,1.32
"Eriodictyon californicum","ensemble_ssp370_2041","gam",125827,0,1.82
"Eriodictyon californicum","ensemble_ssp370_2041","lasso",190063,20.31,2.52
"Eriodictyon californicum","ensemble_ssp370_2041","maxent-tune",372355,27.81,4.13
"Eriodictyon californicum","ensemble_ssp370_2041","rf",310787,88.38,4.13
"Eriodictyon californicum","ensemble_ssp370_2071","brt",213374,49.73,3.25
"Eriodictyon californicum","ensemble_ssp370_2071","gam",660388,0.24,9.56
"Eriodictyon californicum","ensemble_ssp370_2071","lasso",707742,24.65,9.38
"Eriodictyon californicum","ensemble_ssp370_2071","maxent-tune",1141900,29.98,12.66
"Eriodictyon californicum","ensemble_ssp370_2071","rf",1143034,92.91,15.18
"Holodiscus discolor","current","brt",514708,NA,NA
"Holodiscus discolor","current","gam",460665,NA,NA
"Holodiscus discolor","current","lasso",631323,NA,NA
"Holodiscus discolor","current","maxent-tune",697421,NA,NA
"Holodiscus discolor","current","rf",506019,NA,NA
"Holodiscus discolor","ensemble_ssp245_2041","brt",753925,80.73,1.46
"Holodiscus discolor","ensemble_ssp245_2041","gam",282799,37.25,0.61
"Holodiscus discolor","ensemble_ssp245_2041","lasso",420980,44.71,0.67
"Holodiscus discolor","ensemble_ssp245_2041","maxent-tune",469046,57.54,0.67
"Holodiscus discolor","ensemble_ssp245_2041","rf",1174270,76.95,2.32
"Holodiscus discolor","ensemble_ssp245_2071","brt",821782,79.9,1.6
"Holodiscus discolor","ensemble_ssp245_2071","gam",246873,35.67,0.54
"Holodiscus discolor","ensemble_ssp245_2071","lasso",358296,36.82,0.57
"Holodiscus discolor","ensemble_ssp245_2071","maxent-tune",420355,52.41,0.6
"Holodiscus discolor","ensemble_ssp245_2071","rf",1843229,76.19,3.64
"Holodiscus discolor","ensemble_ssp370_2041","brt",758737,80.47,1.47
"Holodiscus discolor","ensemble_ssp370_2041","gam",266492,37.68,0.58
"Holodiscus discolor","ensemble_ssp370_2041","lasso",355260,40.14,0.56
"Holodiscus discolor","ensemble_ssp370_2041","maxent-tune",435967,55.18,0.63
"Holodiscus discolor","ensemble_ssp370_2041","rf",1154801,75.92,2.28
"Holodiscus discolor","ensemble_ssp370_2071","brt",919574,80.11,1.79
"Holodiscus discolor","ensemble_ssp370_2071","gam",224737,35.22,0.49
"Holodiscus discolor","ensemble_ssp370_2071","lasso",279337,30.53,0.44
"Holodiscus discolor","ensemble_ssp370_2071","maxent-tune",371971,45.47,0.53
"Holodiscus discolor","ensemble_ssp370_2071","rf",2005850,79.11,3.96
"Prunus emarginata","current","brt",267179,NA,NA
"Prunus emarginata","current","gam",321380,NA,NA
"Prunus emarginata","current","lasso",463332,NA,NA
"Prunus emarginata","current","maxent-tune",238646,NA,NA
"Prunus emarginata","current","rf",196822,NA,NA
"Prunus emarginata","ensemble_ssp245_2041","brt",273420,54.76,1.02
"Prunus emarginata","ensemble_ssp245_2041","gam",804075,29.56,2.5
"Prunus emarginata","ensemble_ssp245_2041","lasso",97430,18.82,0.21
"Prunus emarginata","ensemble_ssp245_2041","maxent-tune",65804,22.69,0.28
"Prunus emarginata","ensemble_ssp245_2041","rf",276971,50.5,1.41
"Prunus emarginata","ensemble_ssp245_2071","brt",298701,44.89,1.12
"Prunus emarginata","ensemble_ssp245_2071","gam",830046,23.36,2.58
"Prunus emarginata","ensemble_ssp245_2071","lasso",61865,11.99,0.13
"Prunus emarginata","ensemble_ssp245_2071","maxent-tune",49588,15.87,0.21
"Prunus emarginata","ensemble_ssp245_2071","rf",383566,47.15,1.95
"Prunus emarginata","ensemble_ssp370_2041","brt",298743,51.42,1.12
"Prunus emarginata","ensemble_ssp370_2041","gam",791101,27.99,2.46
"Prunus emarginata","ensemble_ssp370_2041","lasso",75494,14.84,0.16
"Prunus emarginata","ensemble_ssp370_2041","maxent-tune",56057,19.06,0.23
"Prunus emarginata","ensemble_ssp370_2041","rf",289426,49.15,1.47
"Prunus emarginata","ensemble_ssp370_2071","brt",313772,32.43,1.17
"Prunus emarginata","ensemble_ssp370_2071","gam",675236,12.58,2.1
"Prunus emarginata","ensemble_ssp370_2071","lasso",47409,7.75,0.1
"Prunus emarginata","ensemble_ssp370_2071","maxent-tune",40936,10.29,0.17
"Prunus emarginata","ensemble_ssp370_2071","rf",438456,44,2.23
"Frangula californica","current","brt",174869,NA,NA
"Frangula californica","current","gam",165898,NA,NA
"Frangula californica","current","lasso",144016,NA,NA
"Frangula californica","current","maxent-tune",151897,NA,NA
"Frangula californica","current","rf",90967,NA,NA
"Frangula californica","ensemble_ssp245_2041","brt",321704,57.11,1.84
"Frangula californica","ensemble_ssp245_2041","gam",2931,1.34,0.02
"Frangula californica","ensemble_ssp245_2041","lasso",18878,12.25,0.13
"Frangula californica","ensemble_ssp245_2041","maxent-tune",161075,13.45,1.06
"Frangula californica","ensemble_ssp245_2041","rf",102563,33.63,1.13
"Frangula californica","ensemble_ssp245_2071","brt",845755,53.29,4.84
"Frangula californica","ensemble_ssp245_2071","gam",20015,1.3,0.12
"Frangula californica","ensemble_ssp245_2071","lasso",16670,11.02,0.12
"Frangula californica","ensemble_ssp245_2071","maxent-tune",359778,11.72,2.37
"Frangula californica","ensemble_ssp245_2071","rf",534442,26.92,5.88
"Frangula californica","ensemble_ssp370_2041","brt",285519,52.16,1.63
"Frangula californica","ensemble_ssp370_2041","gam",3093,1.53,0.02
"Frangula californica","ensemble_ssp370_2041","lasso",19837,13.02,0.14
"Frangula californica","ensemble_ssp370_2041","maxent-tune",164323,13.38,1.08
"Frangula californica","ensemble_ssp370_2041","rf",92607,29.27,1.02
"Frangula californica","ensemble_ssp370_2071","brt",913701,56,5.23
"Frangula californica","ensemble_ssp370_2071","gam",16817,3.39,0.1
"Frangula californica","ensemble_ssp370_2071","lasso",16402,10.67,0.11
"Frangula californica","ensemble_ssp370_2071","maxent-tune",375629,16.5,2.47
"Frangula californica","ensemble_ssp370_2071","rf",518848,23.91,5.7
"Carpinus caroliniana","current","brt",1121721,NA,NA
"Carpinus caroliniana","current","gam",1002931,NA,NA
"Carpinus caroliniana","current","lasso",1096314,NA,NA
"Carpinus caroliniana","current","maxent-tune",999080,NA,NA
"Carpinus caroliniana","current","rf",580403,NA,NA
"Carpinus caroliniana","ensemble_ssp245_2041","brt",1784305,55.18,1.59
"Carpinus caroliniana","ensemble_ssp245_2041","gam",95099,0.61,0.09
"Carpinus caroliniana","ensemble_ssp245_2041","lasso",550737,14.09,0.5
"Carpinus caroliniana","ensemble_ssp245_2041","maxent-tune",155973,1.87,0.16
"Carpinus caroliniana","ensemble_ssp245_2041","rf",40695,1.44,0.07
"Carpinus caroliniana","ensemble_ssp245_2071","brt",2205368,63.58,1.97
"Carpinus caroliniana","ensemble_ssp245_2071","gam",115591,0.82,0.12
"Carpinus caroliniana","ensemble_ssp245_2071","lasso",1733941,12.18,1.58
"Carpinus caroliniana","ensemble_ssp245_2071","maxent-tune",284635,3.56,0.28
"Carpinus caroliniana","ensemble_ssp245_2071","rf",47028,1.49,0.08
"Carpinus caroliniana","ensemble_ssp370_2041","brt",1929017,58.21,1.72
"Carpinus caroliniana","ensemble_ssp370_2041","gam",91038,0.58,0.09
"Carpinus caroliniana","ensemble_ssp370_2041","lasso",638723,14.23,0.58
"Carpinus caroliniana","ensemble_ssp370_2041","maxent-tune",225570,3.14,0.23
"Carpinus caroliniana","ensemble_ssp370_2041","rf",51731,1.53,0.09
"Carpinus caroliniana","ensemble_ssp370_2071","brt",3082180,75.07,2.75
"Carpinus caroliniana","ensemble_ssp370_2071","gam",169806,2.29,0.17
"Carpinus caroliniana","ensemble_ssp370_2071","lasso",1995425,10.54,1.82
"Carpinus caroliniana","ensemble_ssp370_2071","maxent-tune",217943,5.53,0.22
"Carpinus caroliniana","ensemble_ssp370_2071","rf",77697,1.12,0.13
"Catalpa bignonioides","current","brt",2037502,NA,NA
"Catalpa bignonioides","current","gam",2008435,NA,NA
"Catalpa bignonioides","current","lasso",2745516,NA,NA
"Catalpa bignonioides","current","maxent-tune",2053425,NA,NA
"Catalpa bignonioides","current","rf",2515750,NA,NA
